Session Number, Operation, Start Timestamp, End Timestamp, Date 1, Date 2, Days, Weeks, Months, Years, Phrase, Result of Operation, Error
6,Get day of the week,27-8-2020 22:14:33,27-8-2020 22:14:33,28-6-2958,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
6,Subtact two dates,27-8-2020 22:14:33,27-8-2020 22:14:33,13-6-1747,19-1-1384,N.A,N.A,N.A,N.A,N.A,Days: 132720	Weeks: 18960	Months: 4360,N.A
6,Get week number,27-8-2020 22:14:33,27-8-2020 22:14:33,17-10-2848,N.A,N.A,N.A,N.A,N.A,N.A,42,N.A
6,Get date from string,27-8-2020 22:14:33,27-8-2020 22:14:33,N.A,N.A,N.A,N.A,N.A,N.A,NEXT WEEK,3-9-2020,N.A
6,Get day of the week,27-8-2020 22:14:33,27-8-2020 22:14:33,12-11-2196,N.A,N.A,N.A,N.A,N.A,N.A,Saturday,N.A
6,Get day of the week,27-8-2020 22:14:33,27-8-2020 22:14:33,28-12-2780,N.A,N.A,N.A,N.A,N.A,N.A,Sunday,N.A
6,N.A,27-8-2020 22:14:33,27-8-2020 22:14:33,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
6,Add days to date,27-8-2020 22:14:33,27-8-2020 22:14:33,21-4-2354,N.A,17,N.A,N.A,N.A,N.A,8-5-2354,N.A
6,Add weeks to date,27-8-2020 22:14:33,27-8-2020 22:14:33,30-9-1581,N.A,N.A,37,N.A,N.A,N.A,16-6-1582,N.A
6,Exit Session,27-8-2020 22:14:33,27-8-2020 22:14:33,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
7,Get day of the week,27-8-2020 22:14:33,27-8-2020 22:14:33,25-13-2999,N.A,N.A,N.A,N.A,N.A,N.A,Saturday,N.A
7,Add weeks to date,27-8-2020 22:14:34,27-8-2020 22:14:34,7-11-2454,N.A,N.A,206,N.A,N.A,N.A,19-10-2458,N.A
7,Get date from string,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,365 MONTHS AFTER,27-1-2051,N.A
7,Get week number,27-8-2020 22:14:34,27-8-2020 22:14:34,30-8-2423,N.A,N.A,N.A,N.A,N.A,N.A,35,N.A
7,Subtract days from date,27-8-2020 22:14:34,27-8-2020 22:14:34,30-5-2385,N.A,294,N.A,N.A,N.A,N.A,9-8-2384,N.A
7,Add weeks to date,27-8-2020 22:14:34,27-8-2020 22:14:34,6-5-1930,N.A,N.A,60,N.A,N.A,N.A,30-6-1931,N.A
7,Get day of the week,27-8-2020 22:14:34,27-8-2020 22:14:34,5-11-2403,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
7,Subtact two dates,27-8-2020 22:14:34,27-8-2020 22:14:34,20-2-2063,21-5-1283,N.A,N.A,N.A,N.A,N.A,Days: 284792	Weeks: 40684	Months: 9356,N.A
7,Add weeks to date,27-8-2020 22:14:34,27-8-2020 22:14:34,21-12-2015,N.A,N.A,210,N.A,N.A,N.A,30-12-2019,N.A
7,N.A,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
7,Exit Session,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
8,Add days to date,27-8-2020 22:14:34,27-8-2020 22:14:34,18-10-1220,N.A,465,N.A,N.A,N.A,N.A,26-1-1222,N.A
8,Subtact two dates,27-8-2020 22:14:34,27-8-2020 22:14:34,2-7-1136,16-6-1178,N.A,N.A,N.A,N.A,N.A,Days: 15324	Weeks: 2189	Months: 503,N.A
8,Add months to date,27-8-2020 22:14:34,27-8-2020 22:14:34,10-10-1332,N.A,N.A,N.A,499,N.A,N.A,10-5-1374,N.A
8,Add days to date,27-8-2020 22:14:34,27-8-2020 22:14:34,5-4-1879,N.A,183,N.A,N.A,N.A,N.A,5-10-1879,N.A
8,Get date from string,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,259 MONTHS BEFORE,27-1-1999,N.A
8,Add days to date,27-8-2020 22:14:34,27-8-2020 22:14:34,13-8-2015,N.A,119,N.A,N.A,N.A,N.A,10-12-2015,N.A
8,N.A,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
8,Get date from string,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,TOMORROW,28-8-2020,N.A
8,Add months to date,27-8-2020 22:14:34,27-8-2020 22:14:34,6-6-2200,N.A,N.A,N.A,303,N.A,N.A,6-9-2225,N.A
8,Get date from string,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,407 MONTHS AFTER,27-7-2054,N.A
8,Exit Session,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
9,Add two dates,27-8-2020 22:14:34,27-8-2020 22:14:34,25-7-2306,22-7-1916,N.A,N.A,N.A,N.A,N.A,16-3-4223,N.A
9,N.A,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
9,N.A,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
9,Get day of the week,27-8-2020 22:14:34,27-8-2020 22:14:34,8-6-1699,N.A,N.A,N.A,N.A,N.A,N.A,Monday,N.A
9,Subtact two dates,27-8-2020 22:14:34,27-8-2020 22:14:34,18-9-2277,22-5-2830,N.A,N.A,N.A,N.A,N.A,Days: 201860	Weeks: 28837	Months: 6632,N.A
9,Get date from string,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,NEXT WEEK,3-9-2020,N.A
9,Get day of the week,27-8-2020 22:14:34,27-8-2020 22:14:34,3-5-1411,N.A,N.A,N.A,N.A,N.A,N.A,Sunday,N.A
9,Add days to date,27-8-2020 22:14:34,27-8-2020 22:14:34,24-8-1846,N.A,273,N.A,N.A,N.A,N.A,24-5-1847,N.A
9,Subtract years from date,27-8-2020 22:14:34,27-8-2020 22:14:34,18-1-2701,N.A,N.A,N.A,N.A,56,N.A,18-1-2645,N.A
9,Subtract days from date,27-8-2020 22:14:34,27-8-2020 22:14:34,15-3-2522,N.A,25,N.A,N.A,N.A,N.A,18-2-2522,N.A
9,Exit Session,27-8-2020 22:14:34,27-8-2020 22:14:34,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
10,Add years to date,27-8-2020 22:14:34,27-8-2020 22:14:34,7-9-2093,N.A,N.A,N.A,N.A,72,N.A,7-9-2165,N.A
10,Add months to date,27-8-2020 22:14:34,27-8-2020 22:14:34,27-8-1460,N.A,N.A,N.A,145,N.A,N.A,27-9-1472,N.A
10,Get week number,27-8-2020 22:14:34,27-8-2020 22:14:34,29-4-2792,N.A,N.A,N.A,N.A,N.A,N.A,18,N.A
10,Add weeks to date,27-8-2020 22:14:34,27-8-2020 22:14:34,28-11-2189,N.A,N.A,221,N.A,N.A,N.A,22-2-2194,N.A
10,Get date from string,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,307 WEEKS AFTER,16-7-2026,N.A
10,Get week number,27-8-2020 22:14:35,27-8-2020 22:14:35,19-10-1331,N.A,N.A,N.A,N.A,N.A,N.A,42,N.A
10,Add days to date,27-8-2020 22:14:35,27-8-2020 22:14:35,5-2-2596,N.A,97,N.A,N.A,N.A,N.A,12-5-2596,N.A
10,Add years to date,27-8-2020 22:14:35,27-8-2020 22:14:35,25-1-1080,N.A,N.A,N.A,N.A,184,N.A,25-1-1264,N.A
10,Get date from string,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,191 MONTHS AFTER,27-7-2036,N.A
10,Get week number,27-8-2020 22:14:35,27-8-2020 22:14:35,24-7-1815,N.A,N.A,N.A,N.A,N.A,N.A,30,N.A
10,Exit Session,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
11,Add years to date,27-8-2020 22:14:35,27-8-2020 22:14:35,10-4-1169,N.A,N.A,N.A,N.A,38,N.A,10-4-1207,N.A
11,Get week number,27-8-2020 22:14:35,27-8-2020 22:14:35,3-5-2536,N.A,N.A,N.A,N.A,N.A,N.A,18,N.A
11,Add months to date,27-8-2020 22:14:35,27-8-2020 22:14:35,19-7-2995,N.A,N.A,N.A,73,N.A,N.A,19-8-3001,N.A
11,Subtract years from date,27-8-2020 22:14:35,27-8-2020 22:14:35,32-10-2065,N.A,N.A,N.A,N.A,448,N.A,1-11-1617,N.A
11,Get week number,27-8-2020 22:14:35,27-8-2020 22:14:35,3-7-1796,N.A,N.A,N.A,N.A,N.A,N.A,28,N.A
11,Add days to date,27-8-2020 22:14:35,27-8-2020 22:14:35,5-10-1111,N.A,405,N.A,N.A,N.A,N.A,13-11-1112,N.A
11,N.A,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
11,N.A,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
11,Get day of the week,27-8-2020 22:14:35,27-8-2020 22:14:35,29-6-1119,N.A,N.A,N.A,N.A,N.A,N.A,Sunday,N.A
11,Get week number,27-8-2020 22:14:35,27-8-2020 22:14:35,3-11-1052,N.A,N.A,N.A,N.A,N.A,N.A,45,N.A
11,Exit Session,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
12,Subtract days from date,27-8-2020 22:14:35,27-8-2020 22:14:35,13-10-2494,N.A,3,N.A,N.A,N.A,N.A,10-10-2494,N.A
12,N.A,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
12,N.A,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
12,Add days to date,27-8-2020 22:14:35,27-8-2020 22:14:35,11-7-1787,N.A,33,N.A,N.A,N.A,N.A,13-8-1787,N.A
12,Add weeks to date,27-8-2020 22:14:35,27-8-2020 22:14:35,4-2-2805,N.A,N.A,119,N.A,N.A,N.A,18-5-2807,N.A
12,Add weeks to date,27-8-2020 22:14:35,27-8-2020 22:14:35,31-4-2197,N.A,N.A,389,N.A,N.A,N.A,15-10-2204,N.A
12,Get date from string,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,DAY AFTER TOMORROW,29-8-2020,N.A
12,Get date from string,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,475 DAYS BEFORE,10-5-2019,N.A
12,N.A,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
12,Get week number,27-8-2020 22:14:35,27-8-2020 22:14:35,30-1-1601,N.A,N.A,N.A,N.A,N.A,N.A,5,N.A
12,Exit Session,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
13,Subtact two dates,27-8-2020 22:14:35,27-8-2020 22:14:35,10-3-1657,27-12-2102,N.A,N.A,N.A,N.A,N.A,Days: 162824	Weeks: 23260	Months: 5349,N.A
13,Add years to date,27-8-2020 22:14:35,27-8-2020 22:14:35,21-11-1382,N.A,N.A,N.A,N.A,229,N.A,21-11-1611,N.A
13,Subtract months from date,27-8-2020 22:14:35,27-8-2020 22:14:35,10-2-1435,N.A,N.A,N.A,283,N.A,N.A,10-7-1411,N.A
13,N.A,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
13,Add years to date,27-8-2020 22:14:35,27-8-2020 22:14:35,30-11-1406,N.A,N.A,N.A,N.A,210,N.A,30-11-1616,N.A
13,Add months to date,27-8-2020 22:14:35,27-8-2020 22:14:35,26-1-2798,N.A,N.A,N.A,121,N.A,N.A,26-2-2808,N.A
13,Add two dates,27-8-2020 22:14:35,27-8-2020 22:14:35,30-13-1504,8-3-1350,N.A,N.A,N.A,N.A,N.A,7-5-2855,N.A
13,Subtact two dates,27-8-2020 22:14:35,27-8-2020 22:14:35,26-9-2715,21-11-1712,N.A,N.A,N.A,N.A,N.A,Days: 366281	Weeks: 52325	Months: 12034,N.A
13,Add days to date,27-8-2020 22:14:35,27-8-2020 22:14:35,30-13-2864,N.A,189,N.A,N.A,N.A,N.A,7-8-2865,N.A
13,Subtract days from date,27-8-2020 22:14:35,27-8-2020 22:14:35,27-7-2024,N.A,351,N.A,N.A,N.A,N.A,11-8-2023,N.A
13,Exit Session,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
14,Get day of the week,27-8-2020 22:14:35,27-8-2020 22:14:35,19-2-2106,N.A,N.A,N.A,N.A,N.A,N.A,Friday,N.A
14,Subtract weeks from date,27-8-2020 22:14:35,27-8-2020 22:14:35,25-4-2310,N.A,N.A,322,N.A,N.A,N.A,22-2-2304,N.A
14,Get date from string,27-8-2020 22:14:35,27-8-2020 22:14:35,N.A,N.A,N.A,N.A,N.A,N.A,DAY BEFORE YESTERDAY,25-8-2020,N.A
14,Get day of the week,27-8-2020 22:14:35,27-8-2020 22:14:35,22-5-1254,N.A,N.A,N.A,N.A,N.A,N.A,Friday,N.A
14,Subtract years from date,27-8-2020 22:14:36,27-8-2020 22:14:36,24-9-2937,N.A,N.A,N.A,N.A,139,N.A,24-9-2798,N.A
14,Get day of the week,27-8-2020 22:14:36,27-8-2020 22:14:36,9-1-1355,N.A,N.A,N.A,N.A,N.A,N.A,Friday,N.A
14,Get day of the week,27-8-2020 22:14:36,27-8-2020 22:14:36,12-5-2721,N.A,N.A,N.A,N.A,N.A,N.A,Thursday,N.A
14,Subtract days from date,27-8-2020 22:14:36,27-8-2020 22:14:36,16-3-1697,N.A,216,N.A,N.A,N.A,N.A,12-8-1696,N.A
14,Add months to date,27-8-2020 22:14:36,27-8-2020 22:14:36,10-7-2152,N.A,N.A,N.A,322,N.A,N.A,10-5-2179,N.A
14,Add days to date,27-8-2020 22:14:36,27-8-2020 22:14:36,17-5-2127,N.A,266,N.A,N.A,N.A,N.A,7-2-2128,N.A
14,Exit Session,27-8-2020 22:14:36,27-8-2020 22:14:36,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
15,Subtract months from date,27-8-2020 22:14:36,27-8-2020 22:14:36,32-13-2027,N.A,N.A,N.A,69,N.A,N.A,1-5-2022,N.A
15,Add years to date,27-8-2020 22:14:36,27-8-2020 22:14:36,16-7-1455,N.A,N.A,N.A,N.A,42,N.A,16-7-1497,N.A
15,Add years to date,27-8-2020 22:14:36,27-8-2020 22:14:36,23-13-1529,N.A,N.A,N.A,N.A,24,N.A,23-1-1554,N.A
15,N.A,27-8-2020 22:14:36,27-8-2020 22:14:36,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
15,Subtract years from date,27-8-2020 22:14:36,27-8-2020 22:14:36,18-7-1948,N.A,N.A,N.A,N.A,209,N.A,18-7-1739,N.A
15,Get week number,27-8-2020 22:14:36,27-8-2020 22:14:36,16-12-2182,N.A,N.A,N.A,N.A,N.A,N.A,51,N.A
15,Get day of the week,27-8-2020 22:14:36,27-8-2020 22:14:36,5-7-2281,N.A,N.A,N.A,N.A,N.A,N.A,Tuesday,N.A
15,Add two dates,27-8-2020 22:14:36,27-8-2020 22:14:36,1-12-1873,30-8-1727,N.A,N.A,N.A,N.A,N.A,31-8-3601,N.A
15,Add days to date,27-8-2020 22:14:36,27-8-2020 22:14:36,23-11-2371,N.A,69,N.A,N.A,N.A,N.A,31-1-2372,N.A
15,Subtract months from date,27-8-2020 22:14:36,27-8-2020 22:14:36,11-6-2418,N.A,N.A,N.A,297,N.A,N.A,11-9-2393,N.A
15,Exit Session,27-8-2020 22:14:36,27-8-2020 22:14:36,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
16,Get day of the week,27-8-2020 22:14:36,27-8-2020 22:14:36,32-10-2754,N.A,N.A,N.A,N.A,N.A,N.A,Monday,N.A
16,Get day of the week,27-8-2020 22:14:36,27-8-2020 22:14:36,11-6-2856,N.A,N.A,N.A,N.A,N.A,N.A,Sunday,N.A
16,Get date from string,27-8-2020 22:14:36,27-8-2020 22:14:36,N.A,N.A,N.A,N.A,N.A,N.A,469 WEEKS EARLIER,1-9-2011,N.A
16,Get date from string,27-8-2020 22:14:36,27-8-2020 22:14:36,N.A,N.A,N.A,N.A,N.A,N.A,65 WEEKS EARLIER,30-5-2019,N.A
16,Subtract months from date,27-8-2020 22:14:36,27-8-2020 22:14:36,22-2-2414,N.A,N.A,N.A,430,N.A,N.A,22-4-2378,N.A
16,Subtact two dates,27-8-2020 22:14:36,27-8-2020 22:14:36,9-1-2109,3-11-1281,N.A,N.A,N.A,N.A,N.A,Days: 302115	Weeks: 43159	Months: 9925,N.A
16,Add weeks to date,27-8-2020 22:14:36,27-8-2020 22:14:36,10-2-1891,N.A,N.A,125,N.A,N.A,N.A,4-7-1893,N.A
16,Add weeks to date,27-8-2020 22:14:36,27-8-2020 22:14:36,18-3-2655,N.A,N.A,169,N.A,N.A,N.A,13-6-2658,N.A
16,Get day of the week,27-8-2020 22:14:36,27-8-2020 22:14:36,3-9-1428,N.A,N.A,N.A,N.A,N.A,N.A,Friday,N.A
16,Subtract weeks from date,27-8-2020 22:14:36,27-8-2020 22:14:36,9-2-2538,N.A,N.A,163,N.A,N.A,N.A,26-12-2534,N.A
16,Exit Session,27-8-2020 22:14:36,27-8-2020 22:14:36,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
17,Get date from string,27-8-2020 22:14:36,27-8-2020 22:14:36,N.A,N.A,N.A,N.A,N.A,N.A,224 WEEKS FROM NOW,12-12-2024,N.A
17,Subtract months from date,27-8-2020 22:14:36,27-8-2020 22:14:36,27-12-2141,N.A,N.A,N.A,95,N.A,N.A,27-1-2134,N.A
17,Add weeks to date,27-8-2020 22:14:36,27-8-2020 22:14:36,7-9-2375,N.A,N.A,401,N.A,N.A,N.A,15-5-2383,N.A
17,Add weeks to date,27-8-2020 22:14:36,27-8-2020 22:14:36,27-10-2117,N.A,N.A,68,N.A,N.A,N.A,15-2-2119,N.A
17,Add years to date,27-8-2020 22:14:36,27-8-2020 22:14:36,25-5-2693,N.A,N.A,N.A,N.A,432,N.A,25-5-3125,N.A
17,Add months to date,27-8-2020 22:14:37,27-8-2020 22:14:37,29-8-1343,N.A,N.A,N.A,423,N.A,N.A,29-11-1378,N.A
17,N.A,27-8-2020 22:14:37,27-8-2020 22:14:37,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
17,Add years to date,27-8-2020 22:14:37,27-8-2020 22:14:37,17-13-2486,N.A,N.A,N.A,N.A,410,N.A,17-1-2897,N.A
17,Add days to date,27-8-2020 22:14:37,27-8-2020 22:14:37,15-12-1595,N.A,22,N.A,N.A,N.A,N.A,6-1-1596,N.A
17,Subtract days from date,27-8-2020 22:14:37,27-8-2020 22:14:37,1-13-1468,N.A,198,N.A,N.A,N.A,N.A,17-6-1468,N.A
17,Exit Session,27-8-2020 22:14:37,27-8-2020 22:14:37,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
18,Subtract weeks from date,27-8-2020 22:14:37,27-8-2020 22:14:37,20-12-1070,N.A,N.A,118,N.A,N.A,N.A,15-9-1068,N.A
18,Subtract weeks from date,27-8-2020 22:14:37,27-8-2020 22:14:37,7-5-1257,N.A,N.A,309,N.A,N.A,N.A,5-6-1251,N.A
18,Subtract years from date,27-8-2020 22:14:37,27-8-2020 22:14:37,13-7-2417,N.A,N.A,N.A,N.A,310,N.A,13-7-2107,N.A
18,Subtract weeks from date,27-8-2020 22:14:37,27-8-2020 22:14:37,26-12-1023,N.A,N.A,463,N.A,N.A,N.A,10-2-1015,N.A
18,Get week number,27-8-2020 22:14:37,27-8-2020 22:14:37,18-9-1106,N.A,N.A,N.A,N.A,N.A,N.A,38,N.A
18,Subtract weeks from date,27-8-2020 22:14:37,27-8-2020 22:14:37,17-1-1822,N.A,N.A,140,N.A,N.A,N.A,13-5-1819,N.A
18,Subtract weeks from date,27-8-2020 22:14:37,27-8-2020 22:14:37,21-6-1055,N.A,N.A,75,N.A,N.A,N.A,12-1-1054,N.A
18,Get week number,27-8-2020 22:14:37,27-8-2020 22:14:37,13-9-1798,N.A,N.A,N.A,N.A,N.A,N.A,37,N.A
18,Subtract days from date,27-8-2020 22:14:37,27-8-2020 22:14:37,18-9-2336,N.A,110,N.A,N.A,N.A,N.A,31-5-2336,N.A
18,Subtact two dates,27-8-2020 22:14:37,27-8-2020 22:14:37,16-8-2761,25-13-2896,N.A,N.A,N.A,N.A,N.A,Days: 49471	Weeks: 7067	Months: 1625,N.A
18,Exit Session,27-8-2020 22:14:37,27-8-2020 22:14:37,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
19,Get date from string,27-8-2020 22:14:37,27-8-2020 22:14:37,N.A,N.A,N.A,N.A,N.A,N.A,468 YEARS FROM NOW,27-8-2488,N.A
19,Add weeks to date,27-8-2020 22:14:37,27-8-2020 22:14:37,30-11-2846,N.A,N.A,125,N.A,N.A,N.A,23-4-2849,N.A
19,Get week number,27-8-2020 22:14:37,27-8-2020 22:14:37,2-3-2692,N.A,N.A,N.A,N.A,N.A,N.A,10,N.A
19,Add days to date,27-8-2020 22:14:37,27-8-2020 22:14:37,29-6-2636,N.A,433,N.A,N.A,N.A,N.A,5-9-2637,N.A
19,Subtract days from date,27-8-2020 22:14:37,27-8-2020 22:14:37,15-5-1175,N.A,393,N.A,N.A,N.A,N.A,17-4-1174,N.A
19,Get day of the week,27-8-2020 22:14:37,27-8-2020 22:14:37,22-6-2394,N.A,N.A,N.A,N.A,N.A,N.A,Wednesday,N.A
19,Add months to date,27-8-2020 22:14:37,27-8-2020 22:14:37,15-8-1371,N.A,N.A,N.A,26,N.A,N.A,15-10-1373,N.A
19,Add years to date,27-8-2020 22:14:37,27-8-2020 22:14:37,13-12-1251,N.A,N.A,N.A,N.A,356,N.A,13-12-1607,N.A
19,Add days to date,27-8-2020 22:14:37,27-8-2020 22:14:37,18-10-1951,N.A,444,N.A,N.A,N.A,N.A,4-1-1953,N.A
19,Add years to date,27-8-2020 22:14:37,27-8-2020 22:14:37,4-13-1210,N.A,N.A,N.A,N.A,111,N.A,4-1-1322,N.A
19,Exit Session,27-8-2020 22:14:37,27-8-2020 22:14:37,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
20,Add two dates,27-8-2020 22:14:37,27-8-2020 22:14:37,26-7-2862,12-13-2514,N.A,N.A,N.A,N.A,N.A,7-9-5377,N.A
20,Subtact two dates,27-8-2020 22:14:37,27-8-2020 22:14:37,7-4-2078,9-1-2060,N.A,N.A,N.A,N.A,N.A,Days: 6663	Weeks: 951	Months: 218,N.A
20,Subtract weeks from date,27-8-2020 22:14:37,27-8-2020 22:14:37,14-10-2803,N.A,N.A,312,N.A,N.A,N.A,21-10-2797,N.A
20,Get date from string,27-8-2020 22:14:37,27-8-2020 22:14:37,N.A,N.A,N.A,N.A,N.A,N.A,PREVIOUS YEAR,27-8-2019,N.A
20,Add days to date,27-8-2020 22:14:37,27-8-2020 22:14:37,24-1-2219,N.A,84,N.A,N.A,N.A,N.A,18-4-2219,N.A
